ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [7, 7, 7, 7] | BS: 32 | LR: 0.05
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [7, 7, 7, 7] | BS: 32 | LR: 0.01
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [7, 7, 7, 7] | BS: 32 | LR: 0.005
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [7, 7, 7, 7] | BS: 64 | LR: 0.01
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [7, 7, 7, 7] | BS: 64 | LR: 0.005
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [8] | BS: 16 | LR: 0.01
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [8] | BS: 16 | LR: 0.005
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [8] | BS: 32 | LR: 0.05
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [8] | BS: 32 | LR: 0.01
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [8] | BS: 64 | LR: 0.1
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [8] | BS: 64 | LR: 0.005
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [8, 8] | BS: 16 | LR: 0.01
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [8, 8] | BS: 16 | LR: 0.005
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [8, 8] | BS: 32 | LR: 0.05
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [8, 8] | BS: 32 | LR: 0.01
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [8, 8] | BS: 32 | LR: 0.005
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [8, 8] | BS: 64 | LR: 0.05
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [8, 8] | BS: 64 | LR: 0.01
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [8, 8, 8, 8] | BS: 16 | LR: 0.01
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [8, 8, 8, 8] | BS: 16 | LR: 0.005
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [8, 8, 8, 8] | BS: 32 | LR: 0.01
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [8, 8, 8, 8] | BS: 64 | LR: 0.01
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [8, 8, 8, 8] | BS: 64 | LR: 0.005
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [9] | BS: 16 | LR: 0.01
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [9] | BS: 16 | LR: 0.005
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [9] | BS: 16 | LR: 0.001
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [9] | BS: 32 | LR: 0.01
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [9] | BS: 64 | LR: 0.01
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [9, 9] | BS: 16 | LR: 0.05
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [9, 9] | BS: 16 | LR: 0.01
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [9, 9] | BS: 16 | LR: 0.005
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [9, 9] | BS: 32 | LR: 0.1
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [9, 9] | BS: 32 | LR: 0.05
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [9, 9] | BS: 64 | LR: 0.01
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [9, 9] | BS: 64 | LR: 0.005
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [9, 9, 9, 9] | BS: 16 | LR: 0.005
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [9, 9, 9, 9] | BS: 32 | LR: 0.05
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [9, 9, 9, 9] | BS: 32 | LR: 0.01
ACC: {'accuracy': 0.9704615384615385, 'precision': 0.9543147208121827, 'recall': 0.9842931937172775, 'f1_score': 0.9690721649484535} | HL: [9, 9, 9, 9] | BS: 32 | LR: 0.005
